collection_frequency,hourly_collection_plan_id,row_count,timeBox_start_date,timeBox_start_time,timeBox_end_date,timeBox_end_time,ownerSequence,inputRequest_exists,Collection_id,Collection_customer,Collection_name,collection_frequency_requestOwner,Collection_earliestStartTime,Collection_expectedDeliveryTime,Collection_hints,Collection_status,Collection_customerPackagingId,input_filename,input_reference,owner_timebox_start_date,owner_timebox_start_time,owner_timebox_end_date,owner_timebox_end_time,provider,site,hierarchy_customer,hierarchy_customerSiteCode,hierarchy_priority,requests_count,enrichment_request_count,file_collection_frequency,file_hourly_collection_plan_id,grouped_row_count
ChannelComparison,17498,192,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17498,100
ChannelComparison,17499,192,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17499,100
ChannelComparison,17503,192,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17503,100
ChannelComparison,17500,192,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17500,100
ChannelComparison,17501,192,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17501,100
Daily,17470,6243,20250701,500,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_A1.csv,32335,20250701,500,20250701,1059,SS,SKYS,*,SK,1,1,0,Daily,17470,100
ChannelComparison,17502,192,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SS,SKYS,*,SK,1,1,0,ChannelComparison,17502,100
Daily,17496,6243,20250703,500,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B4.csv,34338,20250703,500,20250703,1059,SS,SKYS,*,SY,2,1,0,Daily,17496,100
Daily,17496,6243,20250703,500,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_A1.csv,32335,20250703,500,20250703,1059,SS,SKYS,*,SK,1,1,0,Daily,17496,100
Daily,17483,6243,20250702,500,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_A1.csv,32335,20250702,500,20250702,1059,SS,SKYS,*,SK,1,1,0,Daily,17483,100
Daily,17549,9270,20250703,500,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_A1.csv,32335,20250703,500,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17549,98
Daily,17446,701616,20250702,500,20250702,1059,1,1,122,AA,Multi-Passenger,daily,0,600,,active,1,AA_MULTI_PAX_27MAY2025.csv,35143,20250702,500,20250702,1059,TP,1G,*,DL,2,1,0,Daily,17446,98
Daily,17457,701616,20250703,500,20250703,1059,1,1,122,AA,Multi-Passenger,daily,0,600,,active,1,AA_MULTI_PAX_27MAY2025.csv,35143,20250703,500,20250703,1059,TP,1G,*,DL,2,1,0,Daily,17457,98
Daily,17435,701807,20250701,500,20250701,1059,1,1,122,AA,Multi-Passenger,daily,0,600,,active,1,AA_MULTI_PAX_27MAY2025.csv,35143,20250701,500,20250701,1059,TP,1G,*,DL,2,1,0,Daily,17435,98
Daily,17514,9270,20250701,500,20250701,1059,1,1,122,AA,Multi-Passenger,daily,0,600,,active,1,AA_MULTI_PAX_27MAY2025.csv,35143,20250701,500,20250701,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17514,97
Daily,17534,9270,20250702,500,20250702,1059,1,1,122,AA,Multi-Passenger,daily,0,600,,active,1,AA_MULTI_PAX_27MAY2025.csv,35143,20250702,500,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17534,97
Daily,17553,9270,20250703,500,20250703,1059,1,1,122,AA,Multi-Passenger,daily,0,600,,active,1,AA_MULTI_PAX_27MAY2025.csv,35143,20250703,500,20250703,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17553,97
Daily,17595,2430,20250703,500,20250703,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B5.csv,36136,20250703,500,20250703,1059,AI,F9,*,F9,1,1,0,Daily,17595,96
Daily,17565,2430,20250701,500,20250701,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B5.csv,36136,20250701,500,20250701,1059,AI,F9,*,F9,1,1,0,Daily,17565,96
Daily,17580,2430,20250702,500,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B5.csv,36136,20250702,500,20250702,1059,AI,F9,*,F9,1,1,0,Daily,17580,96
Daily,17436,536000,20250701,500,20250701,1059,1,1,108,AA,AA_B6,daily,1800,600,,active,1,AA_B6.csv,36652,20250701,500,20250701,1059,TP,1G,*,DL,2,1,0,Daily,17436,95
Daily,17532,9270,20250702,0,20250702,1059,1,1,33,AA,Overnight,daily,1900,600,,active,1,AA_B2.csv,31919,20250702,0,20250702,1059,QL2,DL_IP,*,DL,1,1,0,Daily,17532,93
ChannelComparison,17305,90,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17305,90
ChannelComparison,17297,90,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17297,90
ChannelComparison,17294,90,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17294,90
ChannelComparison,17304,90,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17304,90
ChannelComparison,17315,90,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17315,90
ChannelComparison,17293,90,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17293,90
ChannelComparison,17299,90,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17299,90
ChannelComparison,17321,90,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17321,90
ChannelComparison,17307,90,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17307,90
ChannelComparison,17306,90,20250702,1700,20250702,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250702,1700,20250702,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17306,90
Daily,17365,90,20250703,700,20250703,859,1,1,110,SK,SAS-DY-SK,daily,900,1059,,active,1,27JUN25Subscription3VDomesticNOSE9AM.csv,36800,20250703,700,20250703,859,QL2,DY_NEW,*,DY,1,1,0,Daily,17365,90
ChannelComparison,17298,90,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17298,90
ChannelComparison,17296,90,20250701,1700,20250701,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250701,1700,20250701,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17296,90
ChannelComparison,17316,90,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17316,90
ChannelComparison,17320,90,20250703,1700,20250703,2359,1,1,41,CHNL,Exec_Report_Evening,daily,1700,2359,Channel Comparison,active,1,CHNL_ALL_2024-09-14.csv,22790,20250703,1700,20250703,2359,SP,B6_API,*,B6,1,1,0,ChannelComparison,17320,90
